"","local","rep","block","gen","ap","ae","acam","prolif","dec","prod"
"438",2,1,1,251,291,152,1,0,4,6379.31034482759
"439",2,1,1,215,292,158,5,0,3,5830.81896551724
"440",2,1,1,313,274,137,0,0,7,6787.44827586207
"441",2,1,1,220,289,146,2,0,1,6171.26436781609
"442",2,1,1,294,286,141,1,1,2,7750.68965517241
"443",2,1,1,240,311,149,0,0,3,7159.88505747126
"444",2,1,1,216,300,164,0,0,2,8485.22988505747
"445",2,1,2,231,286,143,0,0,3,7519.8275862069
"446",2,1,2,207,291,143,3,0,3,7507.5
"447",2,1,2,271,293,156,1,0,2,5969.13793103448
"448",2,1,2,300,307,153,4,0,4,8401.45114942529
"449",2,1,2,317,304,150,1,0,0,7682.97413793103
"450",2,1,2,255,308,178,5,1,4,7530
"451",2,1,2,306,291,161,1,0,4,7432.6867816092
"452",2,1,2,245,307,157,5,0,0,7108.62068965517
"453",2,1,2,217,304,150,7,0,5,7150.77586206897
